Tag,exec_stackdepth,integer_min,integer_stackdepth,in1,,,,,,,,,,,,,,,,,,
All Programs,0.631259484,0.611911988,0.600151745,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tag,print_integer,integer_min,in1,,,,,,,,,,,,,,,,,,,
IO,0.601329929,0.612329467,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tag,integer_mod,integer_add,in1,,,,,,,,,,,,,,,,,,,
Arithmetic,0.639803625,0.655909198,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tag,exec_stackdepth,integer_mod,integer_min,integer_max,integer_stackdepth,in1,,,,,,,,,,,,,,,,
Comparison,0.661224067,0.626311239,0.656269473,0.61296406,0.639332083,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tag,integer_gte,integer_lt,exec_yankdup,boolean_empty,integer_rot,exec_stackdepth,exec_shove,exec_yank,integer_mod,integer_max,exec_dup,boolean_rot,in2,boolean_dup,boolean_not,exec_do*count,integer_sub,integer_gt,in1,boolean_eq,exec_dup_items,integer_empty
Boolean,0.605727524,0.650495367,0.640957709,0.603324625,0.615942922,0.636151912,0.624728904,0.678060923,0.60662707,0.611358931,0.646589117,0.622326006,0.97265625,0.616916404,0.632319598,0.612640477,0.602794756,0.656582709,1,0.618271885,0.650273561,0.604150237
,,,,,,,,,,,,,,,,,,,,,,
Tag,string_length,string_stackdepth,string_split,in1,,,,,,,,,,,,,,,,,,
String Handling,0.673677982,0.604312218,0.62214427,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Tag,exec_stackdepth,integer_stackdepth,in1,,,,,,,,,,,,,,,,,,,
Vectors,0.600065255,0.621479931,1,,,,,,,,,,,,,,,,,,,
