Problem,in1,print_float,in2,float_frominteger,float_add,string_length,integer_gt,in3,char_isletter,char_eq,exec_string_iterate,print_char,char_dup,exec_do*vector_integer,integer_stackdepth,print_integer,integer_min,integer_max,vector_integer_reverse,vector_integer_eq,string_removechar,string_replacechar,print_string,vector_integer_nth,integer_fromchar,of,number,syllables,is,string_occurrencesofchar,exec_do*vector_float,float_div,string_conjchar,string_split
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO,1,0.142857143,0.428571429,0.142857143,0.138571429,0.131428571,0.045714286,0.142857143,0.192857143,0.152857143,0.241428571,0.182857143,0.178571429,0.107142857,0.152857143,0.295714286,0.262857143,0.194285714,0.011428571,0.008571429,0.151428571,0.205714286,0.46,0.015714286,0.071428571,0.142857143,0.142857143,0.142857143,0.142857143,0.165714286,0,0,0.127142857,0.194285714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arithmetic,1,0.2,0.2,0.39,0.394,0.174,0.01,0,0.038,0.036,0.328,0.012,0.064,0.01,0.108,0.198,0.01,0.028,0,0.006,0.18,0.246,0.39,0.19,0.238,0.2,0.2,0.2,0.2,0.192,0.146,0.2,0.04,0.066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison,1,0,0.491666667,0,0,0.17,0.148333333,0.331666667,0.166666667,0.126666667,0.16,0.15,0.133333333,0.253333333,0.336666667,0.17,0.363333333,0.273333333,0.231666667,0.186666667,0.006666667,0.013333333,0.045,0.041666667,0.013333333,0,0,0,0,0.026666667,0,0,0.006666667,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolean,1,0,0.975,0,0,0.5,0.315,0.495,0,0,0,0,0,0.02,0.24,0,0.21,0.18,0.49,0.49,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String Handling,1,0,0.325,0,0,0.333333333,0.131666667,0.165,0.23,0.183333333,0.443333333,0.213333333,0.221666667,0.008333333,0.186666667,0.178333333,0.095,0.095,0,0.005,0.181666667,0.24,0.536666667,0.158333333,0.25,0.166666667,0.166666667,0.166666667,0.166666667,0.198333333,0,0,0.156666667,0.311666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vectors,1,0,0.25,0.2375,0.25,0,0.0475,0,0,0,0,0,0,0.38,0.3925,0,0.2,0.08,0.3475,0.28,0,0,0,0.0625,0,0,0,0,0,0,0.1825,0.25,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Programs,1,0.03,0.38,0.13,0.13,0.2,0.08,0.14,0.05,0.04,0.11,0.05,0.06,0.18,0.25,0.15,0.22,0.15,0.18,0.15,0.16,0.21,0.32,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.08,0.11,0.07,0.16
