Tag,integer_mod,exec_stackdepth,integer_min,integer_stackdepth,in1,print_string,print_integer,integer_yank,integer_max,integer_add,integer_dup,integer_inc,integer_div,integer_shove,integer_sub,integer_mult,boolean_stackdepth,integer_lt,vector_integer_reverse,exec_yankdup,exec_shove,exec_yank,exec_dup,boolean_rot,boolean_dup,boolean_not,vector_integer_eq,integer_gt,in2,exec_dup_items,string_split,boolean_eq,string_removechar,string_replacechar,string_length,string_stackdepth
IO,0.62,0.62,0.64,0,1,0.7,0.69,0.61,0.63,0.6,0.61,0.6,,,,,,,,,,,,,,,,,,,,,,,,
arithmetic,0.61,0.63,0,0,1,0.63,0,0.62,0,0.63,0.61,0.64,0.6,0.6,0.62,0.6,,,,,,,,,,,,,,,,,,,,
comparison,0.63,0.67,0.67,0.67,1,0,0,0,0.6,0,0.61,0,0,0,0,0,0.61,,,,,,,,,,,,,,,,,,,
boolean,0,0,0,0,1,0,0,0,0.6,0,0,0,0,0,0.6,0,0,0.63,0.7,0.61,0.62,0.67,0.63,0.61,0.61,0.6,0.7,0.62,0.98,0.61,,,,,,
string_handling,0,0.64,0,0,1,0.77,0,0,0,0.61,0,0.6,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.62,0.6,0.66,0.74,0.66
vectors,0,0.64,0,0.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all_programs,0.6,0.64,0.62,0.61,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tag,integer_mod,exec_stackdepth,integer_min,integer_stackdepth,in1,print_string,print_integer,integer_yank,integer_max,integer_add,integer_dup,integer_inc,integer_div,integer_shove,integer_sub,integer_mult,boolean_stackdepth,integer_lt,vector_integer_reverse,exec_yankdup,exec_shove,exec_yank,exec_dup,boolean_rot,boolean_dup,boolean_not,vector_integer_eq,integer_gt,in2,exec_dup_items,string_split,boolean_eq,string_removechar,string_replacechar,string_length,string_stackdepth
all_programs,0.6,0.64,0.62,0.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
